borough,age_less_20,age_20_24,age_25_29,age_30_34,age_35_39,age_plus_40,total
Central New York,46250,4445.652173913044,1646.2167689161554,NA,199.22178988326849,22.727272727272727,242.56331803501615
Eastern Adirondacks,NA,2363.636363636364,631.578947368421,68.11989100817439,68.11989100817439,16.304347826086957,110.38107752956635
Finger Lakes,28636.363636363636,4231.884057971015,1853.0884808013354,NA,216.47869674185463,25.710088148873652,240.95053882287925
Hudson Valley,39857.142857142855,7000,2134.8973607038124,NA,260.08750607681094,32.7720986169573,240.49832987270923
Long Island,73857.14285714286,6950.67264573991,2370.257966616085,NA,324.7711839385887,24.172554853105247,189.11960410606213
New York City,85108.6956521739,9905.20134228188,4095.29627367135,NA,490.08569151056196,61.933404322675344,401.20752525640694
Saratoga,76400,6025.641025641025,2047.8260869565217,266.18088298328337,266.18088298328337,32.180851063829785,272.7125243348475
Westchester/Rockland,50428.57142857143,8043.103448275861,2685.236768802228,NA,331.41592920353986,37.2537546323386,235.59547150717856
Western Adirondacks,82500,3271.1864406779664,852.5,99.9099909990999,99.9099909990999,NA,153.59599749843653
Western New York,52250,4449.21875,1696.5034965034963,NA,232.36757389522975,25.60036248300861,256.1957675260628
