borough,hispanic_count,h_white_only_count,h_black_only_count,total
Central New York,257.1428571428571,354.8387096774194,NA,261.37924718380805
Eastern Adirondacks,NA,NA,NA,92.35843870258384
Finger Lakes,251.09489051094891,NA,NA,255.66224437440442
Hudson Valley,262.28831061544815,235.781990521327,NA,232.98933006821758
Long Island,171.25100702037057,120.90395480225989,247.66355140186917,195.8584389500658
New York City,428.13928475396614,167.68014594101552,570.5638738451736,450.4669492012963
Saratoga,398.49624060150376,272.94117647058823,NA,289.10482414653023
Westchester/Rockland,242.194275802255,499.6577686516085,352.2012578616352,238.3694887054457
Western Adirondacks,NA,48.19277108433735,NA,164.5671401768963
Western New York,344.1608662026295,169.55684007707129,NA,270.4626334519573
