borough,non_hispanic_count,nh_white_only_count,nh_black_only_count,nh_other_count,total
Central New York,261.6849960722702,153.92254220456803,NA,108.56573705179282,261.37924718380805
Eastern Adirondacks,93.01014656144307,82.49852681202121,NA,136.36363636363635,92.35843870258384
Finger Lakes,256.17208506477635,136.06798153587914,NA,149.83351831298557,255.66224437440442
Hudson Valley,225.11927216243205,159.84431619916788,694.4444444444445,207.6923076923077,232.98933006821758
Long Island,206.44905641686069,123.75573596893751,634.173461823573,119.34900542495478,195.8584389500658
New York City,459.378605350004,165.5880256593015,851.7297352135538,243.17375430657683,450.4669492012963
Saratoga,279.5849691531127,207.84641068447414,NA,NA,289.10482414653023
Westchester/Rockland,236.76804357694053,86.56679764243614,722.1217600964437,109.22946655376799,238.3694887054457
Western Adirondacks,172.60951826517245,68.75414181577204,NA,49.54954954954955,164.5671401768963
Western New York,263.5977235069519,119.32315472138481,NA,66.57608695652175,270.4626334519573
