borough,total,year
Central New York,261.37924718380805,2019
Eastern Adirondacks,113.8211382113821,2019
Finger Lakes,255.66224437440442,2019
Hudson Valley,232.98933006821758,2019
Long Island,195.8584389500658,2019
New York City,450.4669492012963,2019
Saratoga,289.10482414653023,2019
Westchester/Rockland,238.3694887054457,2019
Western Adirondacks,164.5671401768963,2019
Western New York,270.4626334519573,2019
Central New York,233.7908614773343,2018
Eastern Adirondacks,115.07936507936508,2018
Finger Lakes,202.22906584543188,2018
Hudson Valley,260.46387629965346,2018
Long Island,228.02067042904739,2018
New York City,434.0156370280372,2018
Saratoga,264.2954390742001,2018
Westchester/Rockland,135.94746479762583,2018
Western Adirondacks,146.69475902027918,2018
Western New York,277.98519682976354,2018
Central New York,250.17946877243358,2017
Eastern Adirondacks,144.42162902121837,2017
Finger Lakes,202.0030930112674,2017
Hudson Valley,291.00243177519593,2017
Long Island,227.28504641235855,2017
New York City,463.761045156394,2017
Saratoga,269.71925133689837,2017
Westchester/Rockland,139.15613406275546,2017
Western Adirondacks,161.04531410916582,2017
Western New York,269.5284552845528,2017
Central New York,256.30472854640976,2016
Eastern Adirondacks,149.60106382978725,2016
Finger Lakes,176.84607572900043,2016
Hudson Valley,299.13122999542753,2016
Long Island,213.40890796887575,2016
New York City,494.81643356643355,2016
Saratoga,247.84196547144754,2016
Westchester/Rockland,172.95516216565449,2016
Western Adirondacks,154.351184346035,2016
Western New York,228.33376321898373,2016
Central New York,248.37176553423691,2015
Eastern Adirondacks,130.99630996309963,2015
Finger Lakes,206.8722218302406,2015
Hudson Valley,306.8618481244282,2015
Long Island,231.0837765957447,2015
New York City,505.2309548431575,2015
Saratoga,298.63284467138857,2015
Westchester/Rockland,188.16658202133064,2015
Western Adirondacks,160.6014657568865,2015
Western New York,245.5942301661963,2015
Central New York,241.28845826959034,2014
Eastern Adirondacks,191.1957950065703,2014
Finger Lakes,224.37137330754354,2014
Hudson Valley,283.10914507538143,2014
Long Island,244.59156719162738,2014
New York City,543.7535760339541,2014
Saratoga,298.7508111615834,2014
Westchester/Rockland,242.23641768389095,2014
Western Adirondacks,159.97498436522827,2014
Western New York,251.88838254572693,2014
