borough,total,hispanic_ratio,h_white_only_ratio,h_black_only_ratio,non_hispanic_ratio,nh_white_only_ratio,nh_black_only_ratio,nh_other_ratio,age_less_20,age_20_24,age_25_29,age_30_34,age_35_39,age_plus_40,medicaid,self_pay,other_insurance,not_stated,hispanic_count,h_white_only_count,h_black_only_count,non_hispanic_count,nh_white_only_count,nh_black_only_count,nh_other_count
New York State,336.5,344.4,189,534.6,334.1,142.9,758.5,202.1,1012.9,588.8,378.4,214.6,203.4,269.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York City,450.5,428.1,167.7,570.6,459.4,165.6,851.7,243.2,1491.4,792.2,526.8,302.8,264.2,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bronx,623.3,500.2,172.2,684.6,786.6,369.8,734.3,419.3,1291.9,860.8,605,497.1,443.1,447.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brooklyn,351.7,393.1,214.2,432,343.7,88.6,837.7,162.5,1388.4,515.3,412.6,251.8,210.5,242.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manhattan,537.5,519.8,220.6,601.4,542.9,320.8,1228.3,253.2,1964.9,1768.6,988.1,312.2,256.5,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Queens,445.7,329.4,80.4,287.4,494.2,155,895.1,273.1,1780.1,915.6,476.5,282.9,275.7,396.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staten Island,275.6,311.7,377.9,311.8,264.7,137.9,692.2,142.9,1252.2,721.7,307,145.7,130,231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York State,336.50288388290346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.66302652106083,3755.020080321285,10322.628458498024,3252.3874488403817,NA,NA,NA,NA,NA,NA,NA
New York City,450.4669492012963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.74073144196166,8801.213960546283,19924.43324937028,1477.8761061946902,428.13928475396614,167.68014594101552,570.5638738451736,459.378605350004,165.5880256593015,851.7297352135538,243.17375430657685
Bronx,623.3190950798925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488.4540929203539,6150.943396226415,31915.09433962264,1498.069498069498,NA,NA,NA,NA,NA,NA,NA
Brooklyn,351.7053279684589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.9984652488489,8644.444444444443,19678.414096916295,2058.8235294117644,NA,NA,NA,NA,NA,NA,NA
Manhattan,537.4915421049394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708.3601977218998,31285.714285714286,62864.40677966102,576.5765765765766,NA,NA,NA,NA,NA,NA,NA
Queens,445.7355679702048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.6483023702754,6299.180327868853,33990.99099099099,3519.480519480519,NA,NA,NA,NA,NA,NA,NA
Staten_Island,275.5632582322357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.99457749661093,7259.259259259259,1676.975945017182,2142.8571428571427,NA,NA,NA,NA,NA,NA,NA
Central New York,261.37924718380805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.1428571428571,354.8387096774194,NA,261.6849960722702,153.92254220456803,NA,108.56573705179282
Eastern Adirondacks,92.35843870258384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.01014656144308,82.49852681202121,NA,136.36363636363637
Finger Lakes,255.6622443744044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.09489051094891,NA,NA,256.17208506477635,136.06798153587914,NA,149.83351831298555
Hudson Valley,232.9893300682176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.28831061544815,235.781990521327,NA,225.11927216243205,159.84431619916788,694.4444444444445,207.6923076923077
Long Island,195.8584389500658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.25100702037057,120.90395480225988,247.66355140186917,206.44905641686069,123.75573596893751,634.173461823573,119.34900542495478
Saratoga,289.10482414653023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.49624060150376,272.94117647058823,NA,279.5849691531127,207.84641068447417,NA,NA
Westchester/Rockland,238.3694887054457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.194275802255,499.6577686516085,352.2012578616352,236.76804357694053,86.56679764243614,722.1217600964437,109.229466553768
Western Adirondacks,164.5671401768963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.19277108433735,NA,172.60951826517243,68.75414181577204,NA,49.54954954954955
Western New York,270.4626334519573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.1608662026295,169.55684007707129,NA,263.5977235069519,119.3231547213848,NA,66.57608695652175
Central New York,242.56331803501615,NA,NA,NA,NA,NA,NA,NA,46250,4445.652173913044,1646.2167689161554,NA,199.22178988326849,22.727272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Adirondacks,110.38107752956635,NA,NA,NA,NA,NA,NA,NA,NA,2363.636363636364,631.578947368421,68.11989100817439,68.11989100817439,16.304347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finger Lakes,240.95053882287925,NA,NA,NA,NA,NA,NA,NA,28636.363636363636,4231.884057971015,1853.0884808013352,NA,216.47869674185463,25.710088148873652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
