STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry
36,117,00974156,0500000US36117,36117,Wayne,Wayne County,NY,New York,06,1563912969,2018185131,"list(list(c(-77.3760519959534, -77.341092, -77.264177, -77.130429, -76.999691, -76.952174, -76.841675, -76.769025, -76.7220025657128, -76.702324, -76.713806, -76.963926, -77.133397, -77.215839, -77.246804, -77.371478, -77.3760519959534, 43.274033763487, 43.280661, 43.277363, 43.285635, 43.271456, 43.270692, 43.305399, 43.318452, 43.3375801959814, 43.080159, 43.024035, 43.013157, 43.012463, 43.039844, 43.034663, 43.034696, 43.274033763487)))"
36,087,00974142,0500000US36087,36087,Rockland,Rockland County,NY,New York,06,449217749,66844037,"list(list(c(-74.2343628312304, -73.981384, -73.982532, -73.970784, -73.88748, -73.893579, -73.893979, -74.041054, -74.2116176431986, -74.2343628312304, 41.1428352715346, 41.324693, 41.321824, 41.247893, 41.138295, 41.005297, 40.997197, 41.059088, 41.1329813635363, 41.1428352715346)))"
36,037,00974117,0500000US36037,36037,Genesee,Genesee County,NY,New York,06,1276705561,6137411,"list(list(c(-78.465505, -77.99729, -77.905934, -77.904121, -77.909832, -77.95553, -77.954964, -78.074171, -78.464381, -78.464449, -78.465505, 43.128619, 43.132981, 43.133561, 43.037056, 42.987762, 42.905861, 42.862754, 42.870188, 42.867461, 43.088703, 43.128619)))"
36,061,00974129,0500000US36061,36061,New York,New York County,NY,New York,06,58679457,29014840,"list(list(c(-74.0234915337322, -74.013784, -73.9845857755727, -73.9712111786194, -73.968082, -73.9658345170463, -73.912456, -73.920999, -73.962478, -73.962645, -73.965572, -74.0309270856838, -74.0234915337322, 40.7374531654873, 40.756601, 40.7975527523865, 40.8163111938137, 40.8207, 40.8247452595586, 40.796096, 40.781749, 40.736802, 40.722747, 40.71895, 40.7227867504936, 40.7374531654873)))"
36,113,00974154,0500000US36113,36113,Warren,Warren County,NY,New York,06,2246082354,166754984,"list(list(c(-74.214625, -74.057005, -73.43812, -73.49291, -73.636651, -73.59496, -73.73997, -73.767498, -73.835811, -73.825828, -73.884139, -74.1601, -74.214625, 43.728703, 43.744513, 43.803687, 43.657139, 43.497242, 43.306118, 43.264709, 43.222123, 43.253756, 43.305348, 43.398041, 43.371532, 43.728703)))"
36,057,00974127,0500000US36057,36057,Montgomery,Montgomery County,NY,New York,06,1044051408,18614750,"list(list(c(-74.743805, -74.759895, -74.542367, -74.488844, -74.097467, -74.096897, -74.09298, -74.083883, -74.263314, -74.289446, -74.411384, -74.454911, -74.648298, -74.763303, -74.743805, 43.030741, 43.047423, 42.98553, 42.985118, 42.982934, 42.979378, 42.955868, 42.897354, 42.796534, 42.783805, 42.77649, 42.772979, 42.829558, 42.863237, 43.030741)))"
36,001,00974099,0500000US36001,36001,Albany,Albany County,NY,New York,06,1354273421,26971925,"list(list(c(-74.263185, -74.241572, -74.169725, -74.180274, -73.832618, -73.809369, -73.726663, -73.676762, -73.761265, -73.773161, -73.783721, -74.254303, -74.263185, 42.423213, 42.550802, 42.667426, 42.729979, 42.772263, 42.778869, 42.822577, 42.783277, 42.610379, 42.509377, 42.464231, 42.408207, 42.423213)))"
36,053,00974125,0500000US36053,36053,Madison,Madison County,NY,New York,06,1696054036,16691322,"list(list(c(-75.992428, -75.979489, -75.959359, -75.955599, -75.932778, -75.884275, -75.723929, -75.552774, -75.542803, -75.444173, -75.437167, -75.247963, -75.251416, -75.295877, -75.428668, -75.889832, -75.896079, -75.917189, -75.975588, -75.993394, -75.992428, 43.185164, 43.177401, 43.180389, 43.172182, 43.176583, 43.155562, 43.162596, 43.037554, 42.931774, 42.933089, 42.863319, 42.871604, 42.784565, 42.744106, 42.745421, 42.723844, 42.790964, 43.085779, 43.091278, 43.183376, 43.185164)))"
36,099,00974147,0500000US36099,36099,Seneca,Seneca County,NY,New York,06,838372770,172818530,"list(list(c(-76.981334, -76.963926, -76.713806, -76.73674, -76.731636, -76.666543, -76.585989, -76.696655, -76.895596, -76.895349, -76.947641, -76.971392, -76.981334, 42.861213, 43.013157, 43.024035, 42.970286, 42.72074, 42.623457, 42.54991, 42.54679, 42.541537, 42.656255, 42.759179, 42.764223, 42.861213)))"
36,017,00974107,0500000US36017,36017,Chenango,Chenango County,NY,New York,06,2314393901,13046917,"list(list(c(-75.889832, -75.428668, -75.295877, -75.330143, -75.403626, -75.374905, -75.415319, -75.418421, -75.483638, -75.63711, -75.638299, -75.836502, -75.86402, -75.889832, 42.723844, 42.745421, 42.744106, 42.568082, 42.509063, 42.410784, 42.314151, 42.195032, 42.195183, 42.195628, 42.248686, 42.244283, 42.415702, 42.723844)))"
36,059,00974128,0500000US36059,36059,Nassau,Nassau County,NY,New York,06,736959587,437291722,"list(list(c(-73.778958, -73.74806, -73.7411972449486, -73.713674, -73.654372, -73.617571, -73.499941, -73.4973510386263, -73.462259, -73.438617, -73.435582, -73.423275, -73.4241151206597, -73.4848683943471, -73.507325, -73.640902, -73.7506217216563, -73.741661, -73.724874, -73.728224, -73.72563, -73.727047, -73.729176, -73.72472, -73.701633, -73.750817, -73.778958, 40.811713, 40.871721, 40.8758545928374, 40.870099, 40.878199, 40.897898, 40.918166, 40.9231822732944, 40.86671, 40.751287, 40.734635, 
40.670483, 40.6132119188686, 40.5987548537602, 40.593411, 40.582823, 40.5893197671277, 40.642198, 40.653447, 40.665965, 40.679588, 40.709497, 40.719167, 40.724298, 40.752493, 40.782887, 40.811713)))"
36,021,00974109,0500000US36021,36021,Columbia,Columbia County,NY,New York,06,1643770717,35071400,"list(list(c(-73.910675, -73.786832, -73.783721, -73.352527, -73.4106444074273, -73.508142, -73.4896799420321, -73.527072, -73.71093, -73.929626, -73.910675, 42.127293, 42.273007, 42.464231, 42.510002, 42.3517462996479, 42.086257, 42.0537977095867, 41.97798, 42.005488, 42.078778, 42.127293)))"
36,107,00974151,0500000US36107,36107,Tioga,Tioga County,NY,New York,06,1343600014,11044570,"list(list(c(-76.563589, -76.538349, -76.416199, -76.415305, -76.250149, -76.253359, -76.130181, -76.080666, -76.108949, -76.104829, -76.10584, -76.1455189947821, -76.462155, -76.473030885808, -76.5576987221493, -76.563589, 42.152463, 42.281755, 42.262976, 42.318368, 42.296676, 42.407568, 42.410337, 42.257985, 42.074574, 42.031568, 41.998858, 41.998866463308, 41.998934, 41.999072381007, 42.0001496652537, 42.152463)))"
36,009,00974103,0500000US36009,36009,Cattaraugus,Cattaraugus County,NY,New York,06,3388125876,36783591,"list(list(c(-79.060777, -78.991702, -78.919766, -78.695937, -78.46394, -78.450447, -78.308839, -78.3081443402607, -78.59665, -78.9188983633788, -78.983065, -79.0612581876299, -79.060777, 42.537853, 42.529249, 42.442386, 42.47194, 42.536332, 42.519209, 42.521217, 41.9990711776986, 41.999877, 41.9991031002259, 41.998949, 41.9988381187249, 42.537853)))"
36,003,00974100,0500000US36003,36003,Allegany,Allegany County,NY,New York,06,2666225086,12989848,"list(list(c(-78.308839, -78.038261, -77.840694, -77.840231, -77.722964, -77.749932223724, -77.83203, -78.031177, -78.2063790981571, -78.271204, -78.3081443402607, -78.308839, 42.521217, 42.521522, 42.517771, 42.474576, 42.471216, 41.9987554366682, 41.998524, 41.999415, 41.9990887227984, 41.998968, 41.9990711776986, 42.521217)))"
36,073,00974135,0500000US36073,36073,Orleans,Orleans County,NY,New York,06,1013366838,1103741900,"list(list(c(-78.4655511875961, -78.329374, -78.145195, -77.9955897949384, -77.995698, -77.99729, -78.465505, -78.4655511875961, 43.3708954221664, 43.373149, 43.37551, 43.3653102556776, 43.284963, 43.132981, 43.128619, 43.3708954221664)))"
36,013,00974105,0500000US36013,36013,Chautauqua,Chautauqua County,NY,New York,06,2746454150,1139025723,"list(list(c(-79.761951, -79.627484, -79.453533, -79.381943, -79.283364, -79.193232, -79.138569, -79.1359444040216, -79.107778, -79.060777, -79.0612581876299, -79.472472, -79.6108357749867, -79.761313, -79.762122, -79.761951, 42.26986, 42.324686, 42.411157, 42.466491, 42.511228, 42.545881, 42.564462, 42.5691787099736, 42.569965, 42.537853, 41.9988381187249, 41.998255, 41.9985199041084, 41.998808, 42.131246, 42.26986)))"
36,041,00974119,0500000US36041,36041,Hamilton,Hamilton County,NY,New York,06,4447989312,234204424,"list(list(c(-74.775617, -74.854171, -74.535156, -74.28187, -74.255998, -74.336826, -74.213734, -74.149076, -74.047062, -74.057005, -74.214625, -74.1601, -74.140147, -74.220902, -74.326378, -74.534657, -74.712615, -74.867712, -74.775617, 43.486677, 44.070089, 44.09925, 44.120552, 43.969797, 43.925223, 43.810875, 43.829613, 43.796343, 43.744513, 43.728703, 43.371532, 43.253979, 43.221403, 43.241635, 43.228115, 43.286143, 43.339826, 43.486677)))"
36,067,00974132,0500000US36067,36067,Onondaga,Onondaga County,NY,New York,06,2016027798,70512843,"list(list(c(-76.479224, -76.258951, -76.198748, -76.21083, -76.078672, -75.993394, -75.975588, -75.917189, -75.896079, -76.274673, -76.356974, -76.450738, -76.491941, -76.479224, 43.227519, 43.237468, 43.212568, 43.268473, 43.19941, 43.183376, 43.091278, 43.085779, 42.790964, 42.771257, 42.84945, 42.84576, 43.004964, 43.227519)))"
36,035,00974116,0500000US36035,36035,Fulton,Fulton County,NY,New York,06,1283234687,96916403,"list(list(c(-74.763614, -74.695985, -74.712615, -74.534657, -74.326378, -74.220902, -74.140147, -74.097467, -74.488844, -74.542367, -74.759895, -74.763614, 43.057962, 43.174177, 43.286143, 43.228115, 43.241635, 43.221403, 43.253979, 42.982934, 42.985118, 42.98553, 43.047423, 43.057962)))"
36,063,00974130,0500000US36063,36063,Niagara,Niagara County,NY,New York,06,1352887560,1598842379,"list(list(c(-79.060206, -79.0552524409396, -79.044567, -79.052868, -79.070469, -78.834061, -78.547395, -78.4655511875961, -78.465505, -78.464449, -78.510384, -78.603989, -78.727647, -78.744015, -78.83126, -78.825366, -78.83935, -78.868756, -78.890159, -78.89326, -78.90586, -78.945262, -79.0195778848943, -79.074467, -79.060206, 43.124799, 43.133812266617, 43.153255, 43.222054, 43.262454, 43.317555, 43.369541, 43.3708954221664, 43.128619, 43.088703, 43.097958, 43.072025, 43.08622, 43.070376, 43.050246, 
43.033656, 43.019453, 43.023262, 43.021956, 43.038756, 43.051556, 43.066956, 43.0662964678904, 43.077855, 43.124799)))"
